gesl,bin,variable,N
Otto,16,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",4205
Otto,8,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",2170
Otto,21,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",9371
Otto,20,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",8534
Otto,14,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",3548
Otto,31,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",6171
Otto,9,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",2464
Otto,23,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",9862
Otto,5,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",1191
Otto,18,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",6131
Otto,27,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",7740
Otto,12,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",3104
Otto,32,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",6021
Otto,19,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",7172
Otto,36,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",2723
Otto,17,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",5047
Otto,41,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",80
Otto,30,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",6485
Otto,11,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",2956
Otto,15,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",3617
Otto,10,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",2718
Otto,13,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",3266
Otto,6,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",1551
Otto,38,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",1112
Otto,7,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",1879
Otto,39,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",548
Otto,40,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",269
Marie,34,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",318
Marie,33,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",533
Otto,3,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",502
Otto,4,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",825
Marie,1,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",103
Marie,36,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",61
Otto,2,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",221
Marie,37,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",29
Marie,38,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",8
Otto,42,"Szenario 1 (Höherbewertung Kindererziehungszeiten)",35
